complete,volume,time,mid
True,97664,2021-07-21T21:00:00.000000000Z,"{'o': '1.17932', 'h': '1.18306', 'l': '1.17574', 'c': '1.17713'}"
True,63099,2021-07-22T21:00:00.000000000Z,"{'o': '1.17702', 'h': '1.17866', 'l': '1.17544', 'c': '1.17717'}"
True,75444,2021-07-25T21:00:00.000000000Z,"{'o': '1.17735', 'h': '1.18174', 'l': '1.17635', 'c': '1.18030'}"
True,86652,2021-07-26T21:00:00.000000000Z,"{'o': '1.18034', 'h': '1.18412', 'l': '1.17701', 'c': '1.18161'}"
True,108555,2021-07-27T21:00:00.000000000Z,"{'o': '1.18173', 'h': '1.18498', 'l': '1.17722', 'c': '1.18425'}"
True,71678,2021-07-28T21:00:00.000000000Z,"{'o': '1.18442', 'h': '1.18928', 'l': '1.18406', 'c': '1.18870'}"
True,78609,2021-07-29T21:00:00.000000000Z,"{'o': '1.18885', 'h': '1.19088', 'l': '1.18516', 'c': '1.18671'}"
True,64698,2021-08-01T21:00:00.000000000Z,"{'o': '1.18623', 'h': '1.18971', 'l': '1.18590', 'c': '1.18720'}"
True,64721,2021-08-02T21:00:00.000000000Z,"{'o': '1.18694', 'h': '1.18934', 'l': '1.18536', 'c': '1.18649'}"
True,73509,2021-08-03T21:00:00.000000000Z,"{'o': '1.18641', 'h': '1.18998', 'l': '1.18328', 'c': '1.18368'}"
True,67708,2021-08-04T21:00:00.000000000Z,"{'o': '1.18370', 'h': '1.18574', 'l': '1.18280', 'c': '1.18324'}"
True,75434,2021-08-05T21:00:00.000000000Z,"{'o': '1.18346', 'h': '1.18359', 'l': '1.17544', 'c': '1.17616'}"
True,64204,2021-08-08T21:00:00.000000000Z,"{'o': '1.17643', 'h': '1.17690', 'l': '1.17348', 'c': '1.17358'}"
True,69806,2021-08-09T21:00:00.000000000Z,"{'o': '1.17366', 'h': '1.17428', 'l': '1.17094', 'c': '1.17206'}"
True,75228,2021-08-10T21:00:00.000000000Z,"{'o': '1.17198', 'h': '1.17540', 'l': '1.17060', 'c': '1.17395'}"
True,59584,2021-08-11T21:00:00.000000000Z,"{'o': '1.17392', 'h': '1.17483', 'l': '1.17238', 'c': '1.17297'}"
True,55951,2021-08-12T21:00:00.000000000Z,"{'o': '1.17306', 'h': '1.18049', 'l': '1.17302', 'c': '1.17954'}"
True,60508,2021-08-15T21:00:00.000000000Z,"{'o': '1.17961', 'h': '1.18012', 'l': '1.17675', 'c': '1.17765'}"
True,87414,2021-08-16T21:00:00.000000000Z,"{'o': '1.17786', 'h': '1.17849', 'l': '1.17080', 'c': '1.17084'}"
True,84793,2021-08-17T21:00:00.000000000Z,"{'o': '1.17104', 'h': '1.17428', 'l': '1.16936', 'c': '1.17106'}"
True,96835,2021-08-18T21:00:00.000000000Z,"{'o': '1.17100', 'h': '1.17165', 'l': '1.16656', 'c': '1.16762'}"
True,65662,2021-08-19T21:00:00.000000000Z,"{'o': '1.16762', 'h': '1.17046', 'l': '1.16640', 'c': '1.16990'}"
True,62294,2021-08-22T21:00:00.000000000Z,"{'o': '1.16970', 'h': '1.17504', 'l': '1.16930', 'c': '1.17460'}"
True,56347,2021-08-23T21:00:00.000000000Z,"{'o': '1.17458', 'h': '1.17652', 'l': '1.17272', 'c': '1.17573'}"
True,62857,2021-08-24T21:00:00.000000000Z,"{'o': '1.17568', 'h': '1.17744', 'l': '1.17262', 'c': '1.17724'}"
